MAY	24	2014	03	12	15	18	24	40	FALSE	75518	49
MAY	21	2014	22	23	34	37	45	47	FALSE	42742	49
MAY	19	2014	05	21	26	39	45	48	FALSE	44617	49
MAY	17	2014	17	20	35	39	40	48	FALSE	61559	49
MAY	14	2014	01	15	24	37	39	45	FALSE	41810	49
MAY	12	2014	08	09	25	30	34	38	FALSE	40318	49
MAY	10	2014	13	15	24	38	42	48	FALSE	63379	49
MAY	07	2014	01	23	26	29	34	44	FALSE	37652	49
MAY	05	2014	06	11	18	32	48	49	FALSE	39459	49
MAY	03	2014	03	09	19	39	44	49	FALSE	76645	49
APR	30	2014	10	12	19	27	45	48	FALSE	39660	49
APR	28	2014	04	08	11	20	36	39	FALSE	36574	49
APR	26	2014	10	14	15	17	22	45	FALSE	53085	49
APR	23	2014	04	18	19	22	39	41	FALSE	34291	49
APR	21	2014	11	21	25	33	36	41	FALSE	32687	49
APR	19	2014	03	05	06	07	09	22	TRUE	4537791	49
APR	16	2014	03	11	12	24	37	44	FALSE	69067	49
APR	14	2014	09	18	19	21	31	46	FALSE	53559	49
APR	12	2014	23	26	32	42	44	47	FALSE	74637	49
APR	09	2014	03	05	10	21	38	43	FALSE	61190	49
APR	07	2014	04	17	19	21	23	41	FALSE	47639	49
APR	05	2014	07	09	25	30	31	39	FALSE	87719	49
APR	02	2014	01	04	12	19	31	39	FALSE	62345	49
MAR	31	2014	03	11	13	14	23	27	FALSE	72639	49
MAR	29	2014	03	08	16	30	36	42	FALSE	80909	49
MAR	26	2014	06	11	15	20	30	41	FALSE	49088	49
MAR	24	2014	04	17	29	40	41	47	FALSE	43208	49
MAR	22	2014	05	09	11	16	17	21	FALSE	79977	49
MAR	19	2014	05	11	13	29	31	46	FALSE	49281	49
MAR	17	2014	03	07	12	29	30	39	FALSE	57909	49
MAR	15	2014	01	09	23	28	37	39	FALSE	70934	49
MAR	12	2014	05	12	14	32	35	49	FALSE	45172	49
MAR	10	2014	06	11	13	24	41	44	FALSE	38853	49
MAR	08	2014	06	25	27	29	31	41	FALSE	58316	49
MAR	05	2014	06	28	32	33	37	48	FALSE	36717	49
MAR	03	2014	11	24	26	37	40	49	FALSE	31336	49
MAR	01	2014	01	06	21	31	40	46	FALSE	58259	49
FEB	26	2014	15	21	26	32	45	47	FALSE	29172	49
FEB	24	2014	19	20	22	34	39	45	TRUE	1025692	49
FEB	22	2014	04	16	17	20	24	48	TRUE	8808363	49
FEB	19	2014	16	20	21	36	37	49	FALSE	95476	49
FEB	17	2014	11	13	18	30	45	47	FALSE	72967	49
FEB	15	2014	04	17	18	32	38	39	FALSE	114692	49
FEB	12	2014	15	16	27	31	40	49	FALSE	78470	49
FEB	10	2014	10	11	27	36	39	41	FALSE	71929	49
FEB	08	2014	09	12	15	19	20	25	FALSE	115360	49
FEB	05	2014	14	24	26	40	42	43	FALSE	70767	49
FEB	03	2014	14	15	23	30	39	42	FALSE	66207	49
FEB	01	2014	07	10	31	32	48	49	FALSE	100670	49
JAN	29	2014	02	13	19	27	28	33	FALSE	84528	49
JAN	27	2014	01	02	27	40	41	44	FALSE	67642	49
JAN	25	2014	06	18	21	26	30	38	FALSE	111114	49
JAN	22	2014	09	17	30	31	43	45	FALSE	131729	49
JAN	20	2014	01	11	12	26	30	39	FALSE	91091	49
JAN	18	2014	04	09	24	26	33	45	FALSE	106509	49
JAN	15	2014	05	09	16	22	24	33	FALSE	84692	49
JAN	13	2014	18	24	27	30	43	48	FALSE	69968	49
JAN	11	2014	09	13	19	25	33	39	FALSE	103233	49
JAN	08	2014	01	05	22	26	29	39	FALSE	74579	49
JAN	06	2014	06	07	09	21	33	47	FALSE	67591	49
JAN	04	2014	02	19	33	35	44	48	FALSE	90242	49
JAN	01	2014	07	10	23	29	45	47	FALSE	68257	49
DEC	30	2013	16	20	34	35	41	46	FALSE	54927	49
DEC	28	2013	08	21	24	32	34	40	FALSE	84645	49
DEC	25	2013	05	07	09	29	38	39	FALSE	73746	49
DEC	23	2013	16	25	28	31	43	47	FALSE	69998	49
DEC	21	2013	06	08	24	26	30	43	FALSE	90288	49
DEC	18	2013	18	27	30	37	38	43	FALSE	84041	49
DEC	16	2013	26	27	29	33	41	47	FALSE	62012	49
DEC	14	2013	06	07	12	16	26	31	FALSE	110702	49
DEC	11	2013	11	22	28	30	40	46	FALSE	59161	49
DEC	09	2013	21	22	31	32	35	37	FALSE	46218	49
DEC	07	2013	02	04	17	21	36	42	FALSE	74350	49
DEC	04	2013	01	05	15	18	23	38	FALSE	60633	49
DEC	02	2013	06	08	16	22	33	38	FALSE	47583	49
NOV	30	2013	05	08	21	22	31	39	FALSE	68288	49
NOV	27	2013	08	23	26	34	38	40	FALSE	55774	49
NOV	25	2013	06	07	30	34	37	44	FALSE	44322	49
NOV	23	2013	07	32	34	38	42	49	FALSE	70490	49
NOV	20	2013	02	04	19	21	29	47	FALSE	59395	49
NOV	18	2013	07	09	12	27	36	46	FALSE	55345	49
NOV	16	2013	09	18	37	40	41	45	FALSE	69556	49
NOV	13	2013	08	10	28	35	38	42	FALSE	71405	49
NOV	11	2013	14	16	20	31	32	38	FALSE	43566	49
NOV	09	2013	01	07	28	36	42	47	FALSE	72633	49
NOV	06	2013	04	13	28	38	42	44	FALSE	48706	49
NOV	04	2013	01	08	19	32	37	49	FALSE	41527	49
NOV	02	2013	10	12	17	28	29	36	FALSE	77396	49
OCT	30	2013	15	17	28	33	35	42	FALSE	45623	49
OCT	28	2013	02	09	10	32	41	43	FALSE	36689	49
OCT	26	2013	14	23	30	31	35	42	FALSE	68143	49
OCT	23	2013	19	30	36	42	47	48	FALSE	41630	49
OCT	21	2013	19	24	32	35	45	49	FALSE	30313	49
OCT	19	2013	05	07	11	19	37	44	FALSE	74617	49
OCT	16	2013	08	13	30	33	44	48	FALSE	45718	49
OCT	14	2013	12	13	20	23	28	37	FALSE	34171	49
OCT	12	2013	17	26	42	43	46	47	FALSE	48549	49
OCT	09	2013	03	18	19	23	42	47	FALSE	39812	49
OCT	07	2013	17	31	37	40	45	46	FALSE	28139	49
OCT	05	2013	01	28	31	34	37	41	FALSE	51460	49
OCT	02	2013	20	35	37	42	45	47	FALSE	29810	49
SEP	30	2013	03	11	25	28	36	40	TRUE	3255027	49
SEP	28	2013	04	06	17	21	40	44	FALSE	78039	49
SEP	25	2013	19	20	25	40	41	47	FALSE	48410	49
SEP	23	2013	04	09	10	13	15	20	FALSE	55315	49
SEP	21	2013	17	18	33	34	41	43	FALSE	60494	49
SEP	18	2013	04	14	28	30	43	48	FALSE	48578	49
SEP	16	2013	04	17	19	46	47	48	FALSE	39154	49
SEP	14	2013	10	14	18	27	38	48	FALSE	66442	49
SEP	11	2013	14	15	21	29	30	41	FALSE	36043	49
SEP	09	2013	04	28	34	36	42	48	FALSE	33927	49
SEP	07	2013	09	11	18	21	23	25	FALSE	64740	49
SEP	04	2013	03	12	14	43	44	46	FALSE	38361	49
SEP	02	2013	05	15	31	32	44	46	FALSE	27730	49
